State name,CD,Turnout
Alabama,1,44.56070557
Alabama,2,43.81797228
Alabama,3,42.64287842
Alabama,4,44.78738649
Alabama,5,47.22610731
Alabama,6,51.95080569
Alabama,7,37.5191649
Alaska,A,53.01440693
Arizona,1,46.79220133
Arizona,2,53.47790359
Arizona,3,35.84717654
Arizona,4,43.72892753
Arizona,5,53.27107734
Arizona,6,54.28266877
Arizona,7,29.02494082
Arizona,8,50.78500491
Arizona,9,46.41954118
Arkansas,1,36.67602194
Arkansas,2,44.44828312
Arkansas,3,40.05632397
Arkansas,4,38.50853931
California,1,52.66262358
California,2,59.00671276
California,3,46.05422577
California,4,59.43871943
California,5,51.34420077
California,6,39.87469246
California,7,52.40009973
California,8,35.76559333
California,9,41.56867861
California,10,44.97283187
California,11,54.16523402
California,12,55.50008752
California,13,54.91551373
California,14,52.21084475
California,15,48.46005153
California,16,33.78471311
California,17,48.16937136
California,18,61.48297327
California,19,45.67493775
California,20,51.9031293
California,21,32.03437571
California,22,46.03510094
California,23,41.9565049
California,24,55.95367604
California,25,50.73297389
California,26,53.1110686
California,27,42.93472158
California,28,49.89035153
California,29,38.39482946
California,30,49.25827505
California,31,38.89284166
California,32,39.38818828
California,33,60.48514164
California,34,35.69890957
California,35,33.07491705
California,36,38.59691647
California,37,50.45820054
California,38,42.00242678
California,39,50.21295918
California,40,35.67465155
California,41,34.73537075
California,42,43.08881313
California,43,43.16567038
California,44,36.2089743
California,45,57.2987714
California,46,36.19776181
California,47,44.95232982
California,48,55.62819913
California,49,56.81279872
California,50,50.59374282
California,51,34.56544893
California,52,54.13016167
California,53,47.66172189
Colorado,1,59.69413045
Colorado,2,69.5584424
Colorado,3,59.40986144
Colorado,4,61.74768083
Colorado,5,53.43272066
Colorado,6,61.08161134
Colorado,7,58.6781292
Connecticut,1,52.41642511
Connecticut,2,52.70301802
Connecticut,3,50.50969676
Connecticut,4,55.53337228
Connecticut,5,52.92660272
Delaware,a,49.08173075
District of Columbia,a,43.45973446
Florida,1,53.60420203
Florida,2,51.51799316
Florida,3,52.84477571
Florida,4,62.01247898
Florida,5,49.87638194
Florida,6,53.67877265
Florida,7,54.57484142
Florida,8,59.04432333
Florida,9,46.01301291
Florida,10,0
Florida,11,56.35428247
Florida,12,55.26854714
Florida,13,54.19335977
Florida,14,0
Florida,15,49.3389665
Florida,16,56.66305034
Florida,17,50.48252003
Florida,18,57.07191356
Florida,19,53.8005776
Florida,20,39.9564235
Florida,21,0
Florida,22,55.65770334
Florida,23,54.16689533
Florida,24,0
Florida,25,46.97994725
Florida,26,49.46610844
Florida,27,54.36586857
Georgia,1,45.51971717
Georgia,2,45.98853753
Georgia,3,53.37659238
Georgia,4,54.70509795
Georgia,5,46.88679486
Georgia,6,63.8574893
Georgia,7,57.60375479
Georgia,8,37.68285236
Georgia,9,50.7351423
Georgia,10,53.50537201
Georgia,11,55.48458335
Georgia,12,46.34603928
Georgia,13,55.97391284
Georgia,14,44.48274126
Hawaii,1,37.58235423
Hawaii,2,40.86560293
Idaho,1,47.61335542
Idaho,2,47.51307793
Illinois,1,49.20398997
Illinois,2,47.32163691
Illinois,3,46.62466284
Illinois,4,40.45457201
Illinois,5,51.13872243
Illinois,6,60.22306394
Illinois,7,47.10377663
Illinois,8,44.59796068
Illinois,9,58.27509523
Illinois,10,50.96880973
Illinois,11,48.23036396
Illinois,12,49.49734859
Illinois,13,50.27364882
Illinois,14,56.53083623
Illinois,15,48.0131337
Illinois,16,49.12814702
Illinois,17,44.78590393
Illinois,18,54.84553972
Indiana,1,45.64422637
Indiana,2,43.78321199
Indiana,3,45.46796242
Indiana,4,43.09038713
Indiana,5,55.30549259
Indiana,6,44.02742995
Indiana,7,41.75897566
Indiana,8,44.48537646
Indiana,9,47.16795178
Iowa,1,57.60952934
Iowa,2,53.80903658
Iowa,3,59.27036956
Iowa,4,55.45890519
Kansas,1,44.68562517
Kansas,2,49.14425337
Kansas,3,59.54760426
Kansas,4,47.06307837
Kentucky,1,45.43029338
Kentucky,2,44.57255587
Kentucky,3,50.31719038
Kentucky,4,46.31938744
Kentucky,5,40.53287276
Kentucky,6,52.04332706
Louisiana,1,45.32328337
Louisiana,2,40.1934885
Louisiana,3,42.57986441
Louisiana,4,38.7749191
Louisiana,5,40.2922613
Louisiana,6,45.90053246
Maine,1,64.02250172
Maine,2,53.69306689
Maryland,1,53.91300979
Maryland,2,45.21901504
Maryland,3,53.65163805
Maryland,4,53.35400617
Maryland,5,54.62572073
Maryland,6,52.90911938
Maryland,7,50.09670741
Maryland,8,59.82494464
Massachusetts,1,48.42506655
Massachusetts,2,52.44775137
Massachusetts,3,52.72140255
Massachusetts,4,57.52853415
Massachusetts,5,60.51776367
