District,Total Votes,Margin of Victory
Alabama's 1st Congressional District,"329,075",28.83%
Alabama's 2nd Congressional District,"303,569",30.54%
Alabama's 3rd Congressional District,"322,234",35.00%
Alabama's 4th Congressional District,"318,029",64.56%
Alabama's 5th Congressional District,"264,160",--
Alabama's 6th Congressional District,"282,261",--
Alabama's 7th Congressional District,"232,331",--
Alaska's At-Large Congressional District,"353,165",9.14%
Arizona's 1st Congressional District,"365,178",3.22%
Arizona's 2nd Congressional District,"381,054",10.23%
Arizona's 3rd Congressional District,"269,837",29.15%
Arizona's 4th Congressional District,"398,623",39.52%
Arizona's 5th Congressional District,"445,657",17.78%
Arizona's 6th Congressional District,"417,427",4.35%
Arizona's 7th Congressional District,"215,732",53.41%
Arizona's 8th Congressional District,"422,467",19.13%
Arizona's 9th Congressional District,"352,274",23.25%
Arkansas' 1st Congressional District,"237,596",--
Arkansas' 2nd Congressional District,"332,503",10.73%
Arkansas' 3rd Congressional District,"334,262",32.50%
Arkansas' 4th Congressional District,"275,035",42.13%
California's 1st Congressional District,"358,263",13.99%
California's 10th Congressional District,"302,494",10.33%
California's 11th Congressional District,"371,356",45.99%
California's 12th Congressional District,"362,950",55.27%
California's 13th Congressional District,"362,818",80.73%
California's 14th Congressional District,"351,005",58.57%
California's 15th Congressional District,"342,701",41.81%
California's 16th Congressional District,"216,729",18.76%
California's 17th Congressional District,"297,336",42.69%
California's 18th Congressional District,"344,139",26.34%
California's 19th Congressional District,"313,027",43.36%
California's 2nd Congressional District,"388,755",51.48%
California's 20th Congressional District,"308,554",53.55%
California's 21st Congressional District,"170,334",0.89%
California's 22nd Congressional District,"315,139",8.45%
California's 23rd Congressional District,"306,118",24.28%
California's 24th Congressional District,"362,345",17.33%
California's 25th Congressional District,"338,943",0.10%
California's 26th Congressional District,"344,733",21.17%
California's 27th Congressional District,"317,318",39.55%
California's 28th Congressional District,"336,199",45.31%
California's 29th Congressional District,"210,944",13.22%
California's 3rd Congressional District,"321,988",9.35%
California's 30th Congressional District,"345,464",38.97%
California's 31st Congressional District,"286,050",22.58%
California's 32nd Congressional District,"259,760",33.16%
California's 33rd Congressional District,"380,428",35.16%
California's 34th Congressional District,"205,346",5.96%
California's 35th Congressional District,"244,346",38.66%
California's 36th Congressional District,"306,849",20.68%
California's 37th Congressional District,"296,621",71.88%
California's 38th Congressional District,"256,206",48.68%
California's 39th Congressional District,"343,783",1.20%
California's 4th Congressional District,"442,022",11.89%
California's 40th Congressional District,"186,381",45.48%
California's 41st Congressional District,"262,573",28.06%
California's 42nd Congressional District,"368,047",14.26%
California's 43rd Congressional District,"277,898",43.37%
California's 44th Congressional District,"206,036",35.57%
California's 45th Congressional District,"414,939",6.93%
California's 46th Congressional District,"229,519",37.51%
California's 47th Congressional District,"311,399",26.54%
California's 48th Congressional District,"395,100",2.12%
California's 49th Congressional District,"386,506",6.26%
California's 5th Congressional District,"356,460",52.18%
California's 50th Congressional District,"362,390",7.91%
California's 51st Congressional District,"242,437",36.61%
California's 52nd Congressional District,"396,495",23.15%
California's 53rd Congressional District,"334,858",19.00%
California's 6th Congressional District,"313,114",46.69%
California's 7th Congressional District,"383,965",13.25%
California's 8th Congressional District,"283,111",12.12%
California's 9th Congressional District,"302,610",15.17%
Colorado's 1st Congressional District,"450,290",50.12%
Colorado's 2nd Congressional District,"515,663",26.06%
Colorado's 3rd Congressional District,"429,319",6.18%
Colorado's 4th Congressional District,"475,107",23.50%
Colorado's 5th Congressional District,"432,407",20.22%
Colorado's 6th Congressional District,"438,473",17.13%
Colorado's 7th Congressional District,"423,691",21.53%
Connecticut's 1st Congressional District,"349,237",28.79%
Connecticut's 2nd Congressional District,"367,181",21.15%
Connecticut's 3rd Congressional District,"346,101",18.97%
Connecticut's 4th Congressional District,"360,125",25.88%
Connecticut's 5th Congressional District,"349,524",11.59%
Delaware's At-Large Congressional District,"488,270",17.41%
